"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005004463485216","https://ae04.alicdn.com/kf/A9e36f82a16d644c99a6bf8be90188002L.jpg",,"Marine Life Bag Handbags Linen Women Octopus Shoulder Bag Thick Rope Shopping Bag Summer High Capacity Travel Beach Tote Bag","USD 11.58","USD 7.99","31%","USD","7","USD 0.56","30","100.0%","https://s.click.aliexpress.com/e/_DkeOl9p",,,,,,
"1005003347438702","https://ae04.alicdn.com/kf/Hd5e626f531fd4d57aa679fd58d78ae7aF.jpg",,"Leather Woven Mini Shoulder Bags for Women Luxury Brand Small Waist Bag Weave Cassette Chest Sac Designer Trending Lady Handbags","USD 31.18","USD 17.15","45%","USD","7","USD 1.20","37","100.0%","https://s.click.aliexpress.com/e/_DDAuGqJ",,,,,,
"10000355225536","https://ae04.alicdn.com/kf/H8475d4f2c8734cce9bd5ebe5f1299c3b3.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/257167617234.mp4","Multifunctional Concealed Tactical Storage Gun Bag Holster Mens Left Right Coating Shoulder Bag Anti-theft Bag Chest Bag Hunting","USD 21.30","USD 11.29","47%","USD","7","USD 0.79","33","89.2%","https://s.click.aliexpress.com/e/_DekPlJ9",,,,,,
"10000004578023","https://ae04.alicdn.com/kf/Se236a916853740c9a175b5e42b4383edE.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/239724700305.mp4","Women Bag Soft PU Leather Shoulder Bag Multi-layer Crossbody Handbag for Ladies High Quality Solid Color Casual Bags Bolso Muje","USD 22.95","USD 11.25","51%","USD","7","USD 0.79","25","92.5%","https://s.click.aliexpress.com/e/_DB2FBTz",,,,,,
"1005001856162605","https://ae04.alicdn.com/kf/H30f98c67ec21410d9fa6479ef50e22ack.jpg",,"Touch Screen Cell Phone Purse Smartphone Wallet Leather Shoulder Strap Handbag Women Bag For Iphone Wallet Shoulder Bags 2020","USD 4.42","USD 4.02","9%","USD","7","USD 0.28","34","90.8%","https://s.click.aliexpress.com/e/_Deih65d",,,,,,
"1005004337385607","https://ae04.alicdn.com/kf/Sbf3f6cd9905446eab9df5d2a6cbef533q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100082105834.mp4","Vintage Small Handbag Women Luxury Shoulder Bags Brand Clutch Bag Small Nylon Crossbody Bag For Women Messenger Bag bolsa","USD 3.33","USD 2.36","29%","USD","7","USD 0.17","97","93.8%","https://s.click.aliexpress.com/e/_DDN0uwP",,,,,,
"1005004178410068","https://ae04.alicdn.com/kf/S8c7718c0f0f645eb8e8b1fab2aacf743W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100020125174.mp4","2022 trend New Line Bundle Clutch Bag For Female High Quality Women's Handbag and Purse Designer Shoulder Bag Senior Hobos","USD 59.67","USD 31.62","47%","USD","11.5","USD 3.64","495","93.5%","https://s.click.aliexpress.com/e/_Dklni2P",,,,,,
"1005002352884615","https://ae04.alicdn.com/kf/H26c3601166864f3c92a0621200af7159c.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/298867717774.mp4","Fashion Canvas Crossbody Bags for Women 2021 Small Shoulder Messenger Bag Students Cotton Cloth Mini Female Handbags Purse Flap","USD 14.82","USD 6.97","53%","USD","7","USD 0.49","26","93.3%","https://s.click.aliexpress.com/e/_DnOpP5p",,,,,,
"1005003720806492","https://ae04.alicdn.com/kf/S8242c124026a4cfd847c0b870ac35d97W.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100029535974.mp4","Fashion Men's Briefcase Business Shoulder Bag PU Leather Shoulder Briefcase Men Crossbody Bags Man High Quality","USD 41.80","USD 20.90","50%","USD","7","USD 1.46","34","100.0%","https://s.click.aliexpress.com/e/_DdgXymP",,,,,,
"1005004768211663","https://ae04.alicdn.com/kf/S6dce9c00bfd84184b7eef31990fb9213H.jpg",,"Motingsome Retro Leopard Print Women Bagf Genuine Leather Luxury Shoulder Handbags and Purses Large Boston Tote 2022 Winter New","USD 124.50","USD 62.25","50%","USD","7","USD 4.36","34","100.0%","https://s.click.aliexpress.com/e/_DDyLRP5",,,,,,
"1005003931495694","https://ae04.alicdn.com/kf/S4277acc2332b47069e2ecedd170948267.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/349254375071.mp4","Men's Shoulder Bag Crossbody Boys Casual Man Waterproof Oxford Messenger Bags Business A4 Document Travel Handbags Male bags man","USD 26.98","USD 13.49","50%","USD","7","USD 0.94","29","94.0%","https://s.click.aliexpress.com/e/_DdlUug7",,,,,,
"1005002634835038","https://ae04.alicdn.com/kf/H27ff0140ca1440048465a5f4f20e55bel.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/309260964809.mp4","Women Large Capacity Handbag Fashion Canvas Shoulder Bag Simple Versatile Student Handbag Shopping Tote Bag Handbag","USD 6.78","USD 4.75","30%","USD","8.0","USD 0.38","54","91.8%","https://s.click.aliexpress.com/e/_DkG8Lnl",,,,,,
"1005003826037854","https://ae04.alicdn.com/kf/S956436d9c6dd41429c44007bb095e92ei.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100083369802.mp4","CONTACT'S Multifunction Crossbody Bag for Men Genuine Leather Male Shoulder Messenger Bags Designer Casual Chest Pack Bag","USD 111.12","USD 55.56","50%","USD","7","USD 3.89","52","98.3%","https://s.click.aliexpress.com/e/_Dm5DWmr",,,,,,
"1005002840125244","https://ae04.alicdn.com/kf/H0afa848864be4b1aafdd05f1cf938fd7l.jpg",,"Designer Women Crossbody Bag Soft Pu Leather Shoulder Bag Good Quality Messenger Bag Small Size Purse Ladies Handbags Black Flap","USD 11.94","USD 7.88","34%","USD","7","USD 0.55","39","76.4%","https://s.click.aliexpress.com/e/_DCUgLdt",,,,,,
"1005002206579952","https://ae04.alicdn.com/kf/H1998e313c1f24c53b46e2689e7cf8c17P.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/298755564623.mp4","3 In 1 Sac Women Backpack Travel Shoulder Bag High Quality Soft Leather Backpacks for Teenage Girls Rucksack Mochila Feminina","USD 46.39","USD 25.98","44%","USD","7","USD 1.82","20","96.7%","https://s.click.aliexpress.com/e/_DeiFuRh",,,,,,
"32820273799","https://ae04.alicdn.com/kf/Sf2060caa661f4426b28bbcb01fad791dn.jpg",,"100% Genuine Crazy Horse Leather Men's Sling Chest Day Pack Back Vintage Casual Messenger Bags Cross Body  Cowhide Shoulder Bag","USD 39.72","USD 25.02","37%","USD","7","USD 1.75","54","95.2%","https://s.click.aliexpress.com/e/_DDELnGP",,,,,,
"1005003245072316","https://ae04.alicdn.com/kf/H8a29ca299a224267930e110bdd3fe28dd.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/326174383849.mp4","Men's Leather Shoulder Waist Bag Multi-function Mobile Phone Bag Head Layer Cowhide Body Bag Male Chest Bag Shoulder Bag","USD 10.96","USD 5.59","49%","USD","7","USD 0.39","617","92.6%","https://s.click.aliexpress.com/e/_DmTy0CL",,,,,,
"4000893262222","https://ae04.alicdn.com/kf/H852f00d586974cb6804d408bfafa80a7z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304636254641.mp4","Fashion Designer Thin Messenger Bag Women Small Shoulder Bag Ladies Cell Phone Pocket Mini Crossbody Bag Female Card Purse","USD 15.94","USD 9.56","40%","USD","8.0","USD 0.76","37","100.0%","https://s.click.aliexpress.com/e/_DcHYRT5",,,,,,
"1005001851632789","https://ae04.alicdn.com/kf/Hb2c9bd42fb9a45ae9ef7224c55d0b814W.jpg",,"Luxury Solid Color Ladies Composite Bag High Quality PU Leather Fashion Women's Handbags Designer Women Shoulder Bags Sac Femme","USD 28.66","USD 17.20","40%","USD","7","USD 1.20","71","100.0%","https://s.click.aliexpress.com/e/_DFzgj3d",,,,,,
